ATSAML22N16A-CFUT

Pin,Name,Type,Unit
F1,PB06/EIC[6]/LP[0],io,1
G2,PB07/EIC[7]/LP[1],io,1
G1,PB08/EIC[8]/LP[2]/SC3[0],io,1
H2,PB09/EIC[9]/LP[3]/SC3[1],io,1
H1,PA04/EIC[4]/LP[4]/SC0[0],io,1
H3,PA05/EIC[5]/LP[5]/SC0[1],io,1
J1,PA06/EIC[6]/LP[6]/SC0[2],io,1
J2,PA07/EIC[7]/LP[7]/SC0[3],io,1
K1,PC05/EIC[13]/LP[8],io,1
K2,PC06/EIC[14]/LP[9],io,1
J3,PC07/EIC[15]/LP[10],io,1
L1,PA08/NMI/LP[11]/SC0[0]/SC4[0],io,1
L2,PA09/EIC[9]/LP[12]/SC0[1]/SC4[1],io,1
J4,PA10/EIC[10]/LP[13]/SC0[2]/SC4[2],io,1
K3,PA11/EIC[11]/LP[14]/SC0[3]/SC4[3],io,1
L3,PC08/EIC[0]/LP[15],io,1
J5,PC09/EIC[1]/LP[16],io,1
K4,PC10/EIC[2]/LP[17]/SC1[2],io,1
L4,PC11/EIC[3]/LP[18]/SC1[3],io,1
K5,PC12/EIC[4]/LP[19]/SC1[0],io,1
L5,PC13/EIC[5]/LP[20]/SC1[1],io,1
K6,PB11/EIC[11]/LP[21]/SC3[3],io,1
K7,PB12/EIC[12]/LP[22]/SC3[0],io,1
L7,PB13/EIC[13]/LP[23]/SC3[1],io,1
K8,PB14/EIC[14]/LP[24]/SC3[2],io,1
L8,PB15/EIC[15]/LP[25]/SC3[3],io,1
J8,PC14/EIC[6]/LP[26],io,1
L9,PC15/EIC[7]/LP[27],io,1
K9,PA12/EIC[12]/LP[28]/SC4[0]/SC3[0],io,1
L10,PA13/EIC[13]/LP[29]/SC4[1]/SC3[1],io,1
K10,PA14/EIC[14]/LP[30]/SC4[2]/SC3[2],io,1
L11,PA15/EIC[15]/LP[31]/SC4[3]/SC3[3],io,1
J9,PA16/EIC[0]/LP[32]/SC1[0]/SC2[0],io,1
K11,PA17/EIC[1]/LP[33]/SC1[1]/SC2[1],io,1
H9,PA18/EIC[2]/LP[34]/SC1[2]/SC2[2],io,1
J10,PA19/EIC[3]/LP[35]/SC1[3]/SC2[3],io,1
J11,PC16/EIC[8]/LP[36],io,1
H10,PC17/EIC[9]/LP[37],io,1
H11,PC18/EIC[10]/LP[38],io,1
G10,PC19/EIC[11]/LP[39],io,1
G11,PC20/EIC[12]/LP[40],io,1
F10,PC21/EIC[13]/LP[41],io,1
F11,PB16/EIC[0]/LP[42]/SC5[0],io,1
E10,PB17/EIC[1]/LP[43]/SC5[1],io,1
E11,PB18/EIC[2]/LP[44]/SC5[2]/SC3[2],io,1
D10,PB19/EIC[3]/LP[45]/SC5[3]/SC3[3],io,1
D11,PB20/EIC[4]/LP[46]/SC3[0]/SC5[0],io,1
D9,PB21/EIC[5]/LP[47]/SC3[1]/SC5[1],io,1
C11,PA20/EIC[4]/LP[48]/SC0[0]/SC2[2],io,1
C10,PA21/EIC[5]/LP[49]/SC0[1]/SC2[3],io,1
B11,PA22/EIC[6]/LP[50]/SC0[2]/SC2[0],io,1
B10,PA23/EIC[7]/LP[51]/SC0[3]/SC2[1],io,1
A1,PA00/EIC[0]/SC1[0],io,0
B1,PA01/EIC[1]/SC1[1],io,0
D1,PA02/EIC[2],io,0
E2,PA03/EIC[3],io,0
A11,PA24/EIC[12]/SC2[2]/SC5[0],io,0
A10,PA25/EIC[13]/SC2[3]/SC5[1],io,0
A6,PA27/EIC[15],io,0
A2,PB00/EIC[0]/SC3[2]/SC5[2],io,0
B2,PB01/EIC[1]/SC3[3]/SC5[3],io,0
B3,PB02/EIC[2]/SC3[0]/SC5[0],io,0
C3,PB03/EIC[3]/SC3[1]/SC5[1],io,0
E1,PB04/EIC[4],io,0
F2,PB05/EIC[5],io,0
A9,PB22/EIC[6]/SC0[2]/SC5[2],io,0
A8,PB23/EIC[7]/SC0[3]/SC5[3],io,0
C9,PB24/EIC[8]/SC0[0]/SC4[0],io,0
C8,PB25/EIC[9]/SC0[1]/SC4[1],io,0
A3,PB30/EIC[14]/SC1[0]/SC5[0],io,0
C4,PB31/EIC[15]/SC1[1]/SC5[1],io,0
D3,PC00/EIC[8],io,0
C2,PC01/EIC[9],io,0
C1,PC02/EIC[10],io,0
D2,PC03/EIC[11],io,0
B9,PC24/EIC[0]/SC0[2]/SC4[2],io,0
B8,PC25/EIC[1]/SC0[3]/SC4[3],io,0
B7,PC26/EIC[2],io,0
A7,PC27/EIC[3]/SC1[0],io,0
B6,PC28/EIC[4]/SC1[1],io,0
B5,PA30/EIC[10]/SC1[2]/SWCLK,io,0
B4,PA31/EIC[11]/SC1[3]/SWDIO,io,0
C5,RESET_N,io,0
L6,VLCD,pwr,2
A4,VSW,pwr,2
E3,GNDANA,pwr,2
C6,GNDIO,pwr,2
F3,VDDANA,pwr,2
A5,VDDCORE,pwr,2
D8,VDDIO,pwr,2
H4,GNDANA,pwr,2
G3,VDDANA,pwr,2
D4,VDDIO,pwr,2
J6,VDDIO,pwr,2
H8,VDDIO,pwr,2
F9,VDDIO,pwr,2
H4,GNDIO,pwr,2
J7,GNDIO,pwr,2
G9,GNDIO,pwr,2
E9,GNDIO,pwr,2
