L22G,L22J,L22N,Pad Name,EIC,ANAREF,ADC,AC,PTC,SLCD,SERCOM,SERCOM,TCTCC,TCC/RTC,COM/RTC,AC-GCLK-SUPC,CCL,pin,name,io,bank,ball,name
1,1,1,PA00,EIC[0],,,,,,,SC1[0],,,,,,1,PA00/EIC[0]/SC1[0],io,0,A1,PA00
2,2,2,PA01,EIC[1],,,,,,,SC1[1],,,,,,2,PA01/EIC[1]/SC1[1],io,0,B1,PA01
3,3,7,PA02,EIC[2],VREFB,AIN[0],AC-AIN[0],XY[8],,,,,,RTC-IN[2],,,7,PA02/EIC[2],io,0,D1,PA02
4,4,8,PA03,EIC[3],VREFA,AIN[1],AC-AIN[1],XY[9],,,,,,,,,8,PA03/EIC[3],io,0,E2,PA03
9,13,17,PA04,EIC[4],,AIN[4],,X[24],LP[4],,SC0[0],TCC-WO[0],,,,CCL-IN[0],17,PA04/EIC[4]/LP[4]/SC0[0],io,1,H1,PA04
10,14,18,PA05,EIC[5],,AIN[5],,X[25],LP[5],,SC0[1],TCC-WO[1],,,,CCL-IN[1],18,PA05/EIC[5]/LP[5]/SC0[1],io,1,H3,PA05
11,15,19,PA06,EIC[6],,AIN[6],,X[26],LP[6],,SC0[2],,,,,CCL-IN[2],19,PA06/EIC[6]/LP[6]/SC0[2],io,1,J1,PA06
12,16,20,PA07,EIC[7],,AIN[7],,X[27],LP[7],,SC0[3],,,,,CCL-OUT[0],20,PA07/EIC[7]/LP[7]/SC0[3],io,1,J2,PA07
13,17,26,PA08,NMI,,,,XY[3],LP[11],SC0[0],SC4[0],TCC-WO[0],,,,CCL-IN[3],26,PA08/NMI/LP[11]/SC0[0]/SC4[0],io,1,L1,PA08
14,18,27,PA09,EIC[9],,,,XY[2],LP[12],SC0[1],SC4[1],TCC-WO[1],,,,CCL-IN[4],27,PA09/EIC[9]/LP[12]/SC0[1]/SC4[1],io,1,L2,PA09
15,19,28,PA10,EIC[10],,,,XY[1],LP[13],SC0[2],SC4[2],,TCC-WO[2],,GCLK-IO[4],CCL-IN[5],28,PA10/EIC[10]/LP[13]/SC0[2]/SC4[2],io,1,J4,PA10
16,20,29,PA11,EIC[11],,,,XY[0],LP[14],SC0[3],SC4[3],,TCC-WO[3],,,CCL-OUT[1],29,PA11/EIC[11]/LP[14]/SC0[3]/SC4[3],io,1,K3,PA11
21,29,46,PA12,EIC[12],,,,,LP[28],SC4[0],SC3[0],,TCC-WO[6],,AC-CMP[0],,46,PA12/EIC[12]/LP[28]/SC4[0]/SC3[0],io,1,K9,PA12
22,30,47,PA13,EIC[13],,,,,LP[29],SC4[1],SC3[1],,TCC-WO[7],,AC-CMP[1],,47,PA13/EIC[13]/LP[29]/SC4[1]/SC3[1],io,1,L10,PA13
23,31,48,PA14,EIC[14],,,,,LP[30],SC4[2],SC3[2],,TCC-WO[4],,GCLK-IO[0],,48,PA14/EIC[14]/LP[30]/SC4[2]/SC3[2],io,1,K10,PA14
24,32,49,PA15,EIC[15],,,,,LP[31],SC4[3],SC3[3],,TCC-WO[5],,GCLK-IO[1],,49,PA15/EIC[15]/LP[31]/SC4[3]/SC3[3],io,1,L11,PA15
25,35,52,PA16,EIC[0],,,,X[28],LP[32],SC1[0],SC2[0],,TCC-WO[6],,GCLK-IO[2],CCL-IN[0],52,PA16/EIC[0]/LP[32]/SC1[0]/SC2[0],io,1,J9,PA16
26,36,53,PA17,EIC[1],,,,X[29],LP[33],SC1[1],SC2[1],,TCC-WO[7],,GCLK-IO[3],CCL-IN[1],53,PA17/EIC[1]/LP[33]/SC1[1]/SC2[1],io,1,K11,PA17
27,37,54,PA18,EIC[2],,,,X[30],LP[34],SC1[2],SC2[2],,TCC-WO[2],,AC-CMP[0],CCL-IN[2],54,PA18/EIC[2]/LP[34]/SC1[2]/SC2[2],io,1,H9,PA18
28,38,55,PA19,EIC[3],,,,X[31],LP[35],SC1[3],SC2[3],,TCC-WO[3],,AC-CMP[1],CCL-OUT[0],55,PA19/EIC[3]/LP[35]/SC1[3]/SC2[3],io,1,J10,PA19
29,41,70,PA20,EIC[4],,,,XY[16],LP[48],SC0[0],SC2[2],TC3-WO[0],TCC-WO[6],,GCLK-IO[4],,70,PA20/EIC[4]/LP[48]/SC0[0]/SC2[2],io,1,C11,PA20
30,42,71,PA21,EIC[5],,,,XY[17],LP[49],SC0[1],SC2[3],TC3-WO[1],TCC-WO[7],,,,71,PA21/EIC[5]/LP[49]/SC0[1]/SC2[3],io,1,C10,PA21
31,43,72,PA22,EIC[6],,,,XY[18],LP[50],SC0[2],SC2[0],TC0-WO[0],TCC-WO[4],,,CCL-IN[6],72,PA22/EIC[6]/LP[50]/SC0[2]/SC2[0],io,1,B11,PA22
32,44,73,PA23,EIC[7],,,,XY[19],LP[51],SC0[3],SC2[1],TC0-WO[1],TCC-WO[5],USB-SOF_1KHZ,,CCL-IN[7],73,PA23/EIC[7]/LP[51]/SC0[3]/SC2[1],io,1,B10,PA23
33,45,74,PA24,EIC[12],,,,,,SC2[2],SC5[0],TC1-WO[0],TCC-WO[0],USB-DM,,CCL-IN[8],74,PA24/EIC[12]/SC2[2]/SC5[0],io,0,A11,PA24
34,46,75,PA25,EIC[13],,,,,,SC2[3],SC5[1],TC1-WO[1],TCC-WO[1],USB-DP,,CCL-OUT[2],75,PA25/EIC[13]/SC2[3]/SC5[1],io,0,A10,PA25
